Transaction ID,Product Name,Product Category,Price,Quantity,Purchase Date,Customer ID,Payment Method,Shipping Country
TXN00001,Non-fiction Book,Books,20,2,2023-12-30,CUST7294,Debit Card,Nepal
TXN00002,Fiction Book,Books,15,3,2024-10-16,CUST4500,Gift Card,Australia
TXN00003,Electric Kettle,Home Appliances,30,1,2024-02-09,CUST1201,PayPal,Canada
TXN00004,Fiction Book,Books,15,4,2024-10-07,CUST7966,PayPal,India
TXN00005,Vacuum Cleaner,Home Appliances,150,3,2024-01-04,CUST2839,Amazon Pay,USA
TXN00006,Levi’s Jeans,Fashion,70,5,2024-08-25,CUST1144,Credit Card,UK
TXN00007,Microwave Oven,Home Appliances,200,1,2024-05-23,CUST3599,PayPal,India
TXN00008,Microwave Oven,Home Appliances,200,3,2024-04-12,CUST3418,Amazon Pay,Nepal
TXN00009,Dell Laptop,Computers,1099,4,2024-02-13,CUST4506,Amazon Pay,Nepal
TXN00010,Blender,Home Appliances,50,4,2024-07-17,CUST5652,Gift Card,India
TXN00011,Sony Headphones,Electronics,199,3,2024-09-04,CUST9768,Amazon Pay,UK
TXN00012,Electric Kettle,Home Appliances,30,5,2024-02-10,CUST2808,Amazon Pay,USA
TXN00013,Dumbbells,Sports,50,2,2024-04-18,CUST7787,Debit Card,Japan
TXN00014,Non-fiction Book,Books,20,1,2024-06-10,CUST3073,PayPal,Nepal
TXN00015,Electric Kettle,Home Appliances,30,4,2024-01-27,CUST8320,Credit Card,Japan
TXN00016,Electric Kettle,Home Appliances,30,5,2024-04-27,CUST2855,Credit Card,Nepal
TXN00017,Non-fiction Book,Books,20,3,2024-06-06,CUST2930,Debit Card,Nepal
TXN00018,Blender,Home Appliances,50,5,2024-10-11,CUST4960,Credit Card,Nepal
TXN00019,Electric Guitar,Musical Instruments,400,5,2023-11-09,CUST7230,Gift Card,Japan
TXN00020,Electric Guitar,Musical Instruments,400,2,2024-08-11,CUST5325,Debit Card,Canada
TXN00021,Fiction Book,Books,15,3,2024-08-04,CUST2260,Amazon Pay,Canada
TXN00022,Yoga Mat,Sports,25,3,2024-01-29,CUST6366,Gift Card,India
TXN00023,Nike Running Shoes,Fashion,120,2,2023-10-27,CUST6999,PayPal,India
TXN00024,Acoustic Guitar,Musical Instruments,250,5,2024-02-04,CUST2542,Credit Card,Australia
TXN00025,Foundation,Beauty,40,1,2024-03-01,CUST6411,PayPal,Nepal
TXN00026,Fiction Book,Books,15,2,2023-11-25,CUST2163,Amazon Pay,UK
TXN00027,Lipstick,Beauty,25,5,2023-12-29,CUST7449,Gift Card,India
TXN00028,Blender,Home Appliances,50,1,2024-05-08,CUST2124,Amazon Pay,UK
TXN00029,Adidas T-shirt,Fashion,35,5,2024-09-26,CUST4893,Gift Card,UK
TXN00030,Electric Kettle,Home Appliances,30,3,2024-05-03,CUST5277,Debit Card,UK
TXN00031,Non-fiction Book,Books,20,3,2024-04-26,CUST2901,Debit Card,Germany
TXN00032,Foundation,Beauty,40,2,2024-05-30,CUST4782,PayPal,Japan
